"","State","District","SRB","IMR","U5MR","NNMR","CFI","SD","TFR","DR","LR","CSP","CL","ClusterID"
"1","Assam","Barpeta",926,43,58,31,62.1,57.6,2.4,65.4,78.6,89.6,2.2,1
"2","Assam","Bongaigaon",950,48,61,27,52.4,65,2.1,62.5,79.3,90.7,2.3,1
"3","Assam","Cachar",928,53,69,35,64.5,69.4,2.9,66.1,85.3,85.5,3.5,1
"4","Assam","Darrang",1003,70,91,40,56.4,67.1,2.3,63.5,73.9,88.2,3.1,2
"5","Assam","Dhemaji",988,37,45,25,66.6,77.3,2.4,64.4,81.6,93.8,1.1,1
"6","Assam","Dhubri",931,69,87,50,48.7,50.7,2.5,72.5,77.9,88.2,3.9,2
"7","Assam","Dibrugarh",922,51,65,34,82.3,86.5,2,52.7,81.7,87.9,3.4,1
"8","Assam","Goalpara",922,53,70,38,46.6,67.2,2.4,66.8,83,88.1,3.2,1
"9","Assam","Golaghat",947,56,71,43,69.4,82.2,2.3,56.9,81.4,87.3,3.7,1
"10","Assam","Hailakandi",822,52,87,36,67.1,45.2,3.7,72.7,85.8,85.8,2.9,2
"11","Assam","Jorhat",980,50,62,39,70.9,86.1,2,53.5,84.8,88.6,3.4,1
"12","Assam","Kamrup",1001,39,49,25,64.6,87.4,1.9,48.3,87.5,93.8,1.9,1
"13","Assam","Karbi Anglong",928,60,78,38,71.8,68.9,2.3,59.6,85,92.6,1.3,1
"14","Assam","Karimganj",925,65,77,44,65.4,44.1,3.2,74.5,84,82.8,3.5,2
"15","Assam","Kokrajhar",892,74,101,43,59.2,66,2.6,65.9,72.9,89.3,1.8,2
"16","Assam","Lakhimpur",984,48,58,33,64.2,87.3,2.5,60.2,84.6,90.6,2,1
"17","Assam","Marigaon",914,63,78,41,66.2,72.4,2.6,67.6,83.6,88.8,3.9,1
"18","Assam","Nagaon",958,62,79,40,52.5,66.9,2.7,66.9,81.2,88.1,2.6,2
"19","Assam","Nalbari",993,58,81,46,68,89.9,2,55,85.8,93.6,1.1,1
"20","Assam","North Cachar Hills",897,54,65,33,56.2,76.4,2.1,54.2,91.6,96.3,0.6,1
"21","Assam","Sibsagar",931,56,72,38,83.5,90.5,2,52.9,83.8,87.4,3.5,1
"22","Assam","Sonitpur",957,61,73,43,70.5,67,2,60.9,76.7,86.7,3,1
"23","Assam","Tinsukia",954,50,66,35,79,79.6,2.3,58,74.3,82.9,4.2,1
"24","Bihar","Araria",909,52,76,41,59.9,57.7,4.3,92,63.5,94.4,7,2
